ccode,year,REER,growth_RGDP,log_RGDP,NOMLRATE,forecasterror,PDEBT,UNRATE,INVGDP,OUTPUTGAP,PRIMARYBAL,PUBINVRATIO
AUT,2000,99.84169,0.031397194,5.629468029,5.56,0.91295167,66.4976,3.8,23.00406578,1.81007,1.1766289,2.7019896
AUT,2001,99.56379,0.013083975,5.642552004,5.08,0.820695798,67.0794,3.9,22.46216837,0.6925932,2.9179896,2.4657422
AUT,2002,99.96824,0.014734508,5.657286512,4.96,1.520823161,67.2164,4.3,20.90689904,-0.0735082,2.0522159,2.7161875
AUT,2003,103.22345,0.011351182,5.668637694,4.14,1.39154089,66.2301,4.6,21.59646468,-1.1514137,1.3673742,2.5976366
AUT,2004,103.92454,0.025328805,5.693966499,4.13,1.29885707,65.679,5.9,21.26467053,-0.8971263,-1.8884374,2.5035781
AUT,2005,102.43629,0.022938544,5.716905042,3.39,1.940551673,69.1104,6,20.23321124,-0.8626274,0.6778944,3.001368
AUT,2006,101.45346,0.032170629,5.749075671,3.8,1.883460907,67.7876,5.7,19.87548024,0.2978718,0.5639452,2.9551958
AUT,2007,102.02753,0.037056772,5.786132443,4.3,1.995010783,65.4391,5.3,20.10161292,2.1738746,1.8153298,3.0377782
AUT,2008,102.32698,0.014428557,5.800561,4.36,2.263583238,69.1494,4.4,20.22428252,2.0723702,1.403801,3.3095069
AUT,2009,103.49181,-0.036521606,5.764039394,3.94,2.255063031,80.3477,5.7,19.23820562,-2.5289734,-2.1706537,3.4254999
AUT,2010,99.96518,0.017928214,5.781967609,3.23,2.148432485,83.2159,5.2,18.57129351,-1.5191722,-1.5008811,3.2898554
AUT,2011,100.42634,0.028854219,5.810821828,3.32,2.035524717,82.9692,4.9,19.6591783,0.4550574,0.3613495,3.0481974
AUT,2012,98.61284,0.006262961,5.817084789,2.37,1.982006773,82.4541,5.2,19.99577371,0.1401344,0.6094866,2.9569846
AUT,2013,100.68019,-0.002510417,5.814574372,2.01,2.082126856,81.954,5.7,20.23016161,-1.1009724,0.6643914,3.0819444
AUT,2014,102.39853,0.007529661,5.822104033,1.49,0.022336038,84.8196,6,19.96158897,-1.3330424,0.5415895,3.0055907
AUT,2015,100,0.012950826,5.835054859,0.75,0.03623646,85.4366,6.1,19.90262611,-1.260955,1.8748403,2.9933331
AUT,2016,101.68826,0.020951297,5.856006156,0.38,0.1138229,83.293,6.5,20.32965797,-0.5251469,0.6446674,2.9922601
AUT,2017,102.81243,0.022468176,5.878474333,0.58,0.1317465,78.9424,5.9,20.73638921,0.4083117,1.0717355,3.1095449
AUT,2018,104.91046,0.024538631,5.903012963,0.69,-0.0018939,74.4771,5.2,21.22933673,1.5650285,1.8282653,3.0842619
